container-title,container-title-short
Russian Journal of Developmental Biology,Russ J Dev Biol
American Journal of Medical Genetics,Am. J. Med. Genet.
Nature Reviews Molecular Cell Biology,Nat Rev Mol Cell Biol
Trends in Cell Biology,Trends in Cell Biology
Nature Methods,Nat Methods
Current Opinion in Cell Biology,Current Opinion in Cell Biology
Mechanisms of Development,Mechanisms of Development
Developmental Cell,Developmental Cell
Studies in Comparative International Development,St Comp Int Dev
Seminars in Cell &amp; Developmental Biology,Seminars in Cell &amp; Developmental Biology
Frontiers in Cell and Developmental Biology,Front. Cell Dev. Biol.
Current Opinion in Genetics &amp; Development,Current Opinion in Genetics &amp; Development
Science,Science
Physical Review Letters,Phys. Rev. Lett.
Science Advances,Sci. Adv.
Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci. U.S.A.
Molecular Biology of the Cell,MBoC
Microscopy,Microscopy (Tokyo)
Nature Nanotechnology,Nature Nanotech
Nature Photonics,Nature Photon
Nature Protocols,Nat Protoc
Nature Cell Biology,Nat Cell Biol
PLOS Computational Biology,PLoS Comput Biol
Nature Biotechnology,Nat Biotechnol
Nature Communications,Nat Commun
IEEE Signal Processing Magazine,IEEE Signal Process. Mag.
IEEE Reviews in Biomedical Engineering,IEEE Rev. Biomed. Eng.
Computing in Science &amp; Engineering,Comput. Sci. Eng.
F1000Research,F1000Res
Scientific Reports,Sci Rep
International Journal of Pattern Recognition and Artificial Intelligence,Int. J. Patt. Recogn. Artif. Intell.
Frontiers in Bioinformatics,Front. Bioinform.
PLoS Biology,PLoS Biol
Frontiers in Computer Science,Front. Comput. Sci.
IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Trans. Pattern Anal. Mach. Intell.
Proceedings of the IEEE,Proc. IEEE
BMC Biology,BMC Biol
"Visual Computing for Industry, Biomedicine, and Art",Vis. Comput. Ind. Biomed. Art
Annual Review of Biophysics,Annu. Rev. Biophys.
Nature Chemical Biology,Nat Chem Biol
Nature Materials,Nat. Mater.
Annual Review of Biophysics and Biomolecular Structure,Annu. Rev. Biophys. Biomol. Struct.
Nature Structural &amp; Molecular Biology,Nat Struct Mol Biol
Nature Reviews Methods Primers,Nat Rev Methods Primers
Optics Express,Opt. Express
Nature Reviews Physics,Nat Rev Phys
Nature Reviews Materials,Nat Rev Mater
"Development, Growth &amp; Differentiation",Dev Growth Differ
Royal Society Open Science,R. Soc. open sci.
Journal of Biomechanics,Journal of Biomechanics
Clinical Immunology,Clinical Immunology
