JournalTitle,JournalID,Publisher,pissn,eissn,additionalIssns,doi,yearissues,language
(Aza)-Morita–Baylis–Hillman Reactions,229575,Georg Thieme Verlag KG,,20400330,,10.1055/sos-SD-204-00330,,en
*************Title****************,392883,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2017-46-CS-11,[],en
-Quinone Imide Reactions,229558,Georg Thieme Verlag KG,,20400233,,10.1055/sos-SD-204-00233,,en
-Selective Additions,229491,Georg Thieme Verlag KG,,20200420,,10.1055/sos-SD-202-00420,,en
-Selective and Unsubstituted Nitro-Mannich Reactions,229527,Georg Thieme Verlag KG,,20200447,,10.1055/sos-SD-202-00447,,en
0,295046,"""Science and Education, Ltd.""",20720483,,19979355,,,en
10 Questionable assumptions about future war in the Indo-Pacific - Ross Babbage,422975,Centre for Defence Research,,,,10.51174/AJDSS.0201/UQVE8763,[],en
2015 Northwest Territories Geological Survey Core Recovery Program,463978,Northwest Territories Geological Survey,,,,10.46887/2016-006,[],en
2nd International Sustainable Energy Conference,468093,AEE INTEC,,,,10.32638/isec2022,[],en
30th International Symposium on Ballistics,312656,DEStech Publications,,,,10.12783/ballistics2017,[],en
36510,267593,The Classical Studies Foundation,,,,,,en
A 15-year personal experience in managing orthopedic and hip fracture cases in Ninawa (Iraq),393551,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/O03-2016-3-OA-1,[],en
A Biological Study of Myzus persicae (Sulzer) Reared on Different Host Plants,555609,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A122V4I3,[],en
A case of accessory breast cancer mimicking metastatic lymph node from occult breast cancer,393656,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100036S05NU2019CR,[],en
A case of bacterial infection due to red blood cell unit,393790,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100011I03ES2019LE,[],en
A case of chondrosarcoma of the temporal bone,393568,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/o04-2014-2-CR-2,[],en
A case of descending necrotizing mediastinitis and Lemierre s syndrome associated with an odontogenic infection,392475,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z07-2016-5-CR-3,[],en
A case of endometriosis of the appendix,392693,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100069Z12BJ2020CR,[],en
A case of extrafollicular adenomatoid odontogenic tumor with long-term follow-up,392474,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z07-2016-4-CR-2,[],en
A case of gallbladder torsion A rare cause of acute abdomen,392699,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100065Z12HC2019CR,[],en
A case of giant leiomyosarcoma of the inferior vena cava with liver metastases A surgical challenge,392858,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-28-CR-20,[],en
A case of popliteal artery entrapment in an active duty soldier,392987,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100046Z09JM2018CR,[],en
A case of primary breast tuberculosis at a United Kingdom district general hospital,392832,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-9-CR-1,[],en
A case of primary gastrointestinal lymphoma presenting as colonic perforation,392880,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2017-43-CR-8,[],en
A case of serial duodenal perforations after ingestion of multiple toothbrushes,392843,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-15-CR-7,[],en
A case of ureteral herniation in large sliding inguinoscrotal hernia,392690,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100071Z12BJ2020CR,[],en
A case report of endoanal pilonidal sinus,392854,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z12-2016-24-CR-16,[],en
A case report of osteochondroma of the mandibular condyle,392473,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/Z07-2016-3-CR-1,[],en
A case study of snowmobile-supported lake sediment sampling in the Yellowknife Greenstone Belt NWT,464062,Northwest Territories Geological Survey,,,,10.46887/2021-017,[],en
A Checklist and Host Index of the Armored Scale Insects of the Philippines (Diaspididae Homoptera),553228,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A21V1I3,[],en
A Cluster-based Approach for Minimizing Energy Consumption by Reducing Travel Time of Mobile Element in WSN,355940,Narpavi Publishers,,,,10.35625/am960127k,[],en
A combined approach of teaching head development using embryology and comparative anatomy,393015,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/A04-2016-11-RA-3,[],en
A common hepatic artery aneurysm at the extremes of size,392685,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100073Z12DT2020CR,[],en
A Comparison of Two Methods for Measuring the Chloride Ion Permeability of Concrete,396338,ASTM International,,,,10.1520/CCA10589J,[],en
A comparison of varus and valgus slipped capital femoral epiphysis A case series,392919,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100011Z14JM2018CS,[],en
A compilation of aeromagnetic data for the Northwest Territories Cordillera,463325,Northwest Territories Geological Survey,,,,10.46887/2020-06,[],en
A Compilation of Heavy Mineral Concentrates Results from Stream Sediment Samples Collected 2007-2010 Mackenzie Mountains NWT Northwest Territories Geoscience Office NWT Open Report 2012-001,463870,Northwest Territories Geological Survey,,,,10.46887/2012-001,[],en
A compilation of isotopic dates for the Slave Structural Province NTS 85 J/9,463586,Northwest Territories Geological Survey,,,,10.46887/1983-03,[],en
A Compilation of U-Pb Zircon Primary Crystallization and Depositional Ages from the Paleoproterozoic Southern Wopmay Orogen Northwest Territories,463884,Northwest Territories Geological Survey,,,,10.46887/2012-003,[],en
A Comprehensive Survey on Mobile Sink-Based Data Gathering Schemes in WSNs,470838,"""Old City Publishing, Inc""",,,,10.32908/ahswn.v52.8311,[],en
A Computer Simulation Model of the Green Leafhopper Population,556250,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A197V6I2,[],en
A Conversation with Dr Louise Ivers,544685,Harvard Health Policy Review,,,,10.56927/552839,[],en
A critical evaluation of the conceptual model and empirical evidence for current cognitive behavioral approaches to post-traumatic stress disorder from a counseling psychology perspective,393745,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/P13-2017-10-RA-1,[],en
A Cross-layer Energy Control Strategy for Indoor Wireless Meter Reading Systems,470830,"""Old City Publishing, Inc""",,,,10.32908/ahswn.v53.7965,[],en
A Cryostratigraphic Synthesis of Inuvik to Tuktoyaktuk Highway Corridor Geotechnical Boreholes (2012-2017),512625,Northwest Territories Geological Survey,,,,10.46887/2022-002,[],en
A descriptive study on the perception of health care workers to dental treatment at a tertiary hospital in Lagos Nigeria,393134,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/D01-2016-17-OA-4,,en
A detailed inventory of retrogressive thaw slump affected slopes using high spatial resolution digital elevation models and imagery Peel Plateau and Anderson Plain – Tuktoyaktuk Coastlands Northwest Territories,552953,Northwest Territories Geological Survey,,,,10.46887/2023-013,[],en
A first approximation of aufeis distribution in eastern Yukon and adjacent Northwest Territories Canada,464002,Northwest Territories Geological Survey,,,,10.46887/2016-010,[],en
A focus on the epidemiological studies of infectious parasitic diseases,393782,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/I03-2015-3-ED-2,[],en
A giant pelvic epidermoid cyst with malignant transformation to squamous cell carcinoma,393588,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/R02-2015-1-CR-1,[],en
A High-Dimensional Timing Data Cleaning Algorithm for Wireless Sensor Networks,470833,"""Old City Publishing, Inc""",,,,10.32908/ahswn.v53.9001,[],en
A history of water and ice a field guide to permafrost and environmental change in the Yellowknife area,464030,Northwest Territories Geological Survey,,,,10.46887/2019-013,[],en
A Host Index of Aphids,553222,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A16V1I3,[],en
A Hybrid Approach to Face Recognition using Local and Global Features,355557,Narpavi Publishers,,,,10.35625/cm960127j,[],en
A lithostratigraphic section in the central Misty Creek Embayment NWT,463893,Northwest Territories Geological Survey,,,,10.46887/2013-002,[],en
A microthermometric study of fluid inclusions in sulfides and carbonates from Gayna River and the Bear-Twit base metal prospects Mackenzie Mountains NWT,463769,Northwest Territories Geological Survey,,,,10.46887/2006-005,[],en
A midway to disaster Concealed pneumomediastinum after endobronchial catheter intubation,392711,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100061Z12YL2019CL,[],en
A minimally invasive approach for aesthetic enhancement using indirect composite veneers A case report,393126,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/D01-2015-10-CR-8,,en
A Modified Approach to Insecticide Residue Data Generation,555961,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A150V5I1,[],en
A new concept in tuberculosis awareness in the low income countries,393505,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/T08-2015-1-ED-1,[],en
A New Feather Mite Genus Zygepigynia (Pteronyssinae Avenzoariidae) Associated with Chrysocolaptes lucidus from the Philippines,556260,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A207V6I4,[],en
A New Genus and Species of Pemphigidae on Lithocarpus sp in the Philippines (Aphidoidea Homoptera),554407,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A68V2I5,[],en
A new look at Bovie Structure and its regional context speaker notes and slides for a talk presented at the 2003 Yellowknife Geoscience Forum,463736,Northwest Territories Geological Survey,,,,10.46887/2004-002,[],en
A New Species of Hippasa Simon (Araneae Lycodisae) from the Philippines,555956,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A146V5I1,[],en
A New Species of Hydrellia (Ephydridae Diptera) on Rice,552961,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A3V1I1,[],en
A New Species of Philippine Anusoidea Girault (1926) Parasitizing Pseudococcus citriculus Green (Hymenoptera Encyrtidae Homoptera Pseudococcidae),553968,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A63V2I4,[],en
A New Subspecies of Vespa luctuosa from Negros Island,556272,"""The Philippine Association of Entomologists, Inc.""",,,,10.59852/TPE-A208V6I4,[],en
A new surgical scalpel to perform the Waffle procedure for constrictive pericarditis safely,393279,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/C04-2014-1-SR-1,[],en
A Novel Approach for Age Estimation and G ender Detection from Facial Images Biometric Dataset using a Deep Learning Technique,355598,Narpavi Publishers,,,,10.35625/cm960127l,[],en
A novel methodology for quantitative analysis of differentphenotypes of locomotion behavior C elegansbioinformatics model,393314,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100008C06KV2018OA,[],en
A novel technique for treatment of a pathological fracture in a distal humerus using combined interlocking custom shoulder and elbow arthroplasty,393554,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/O03-2017-6-CR-2,[],en
A novel treatment of necrotizing ulcerative gingivitis using ozone therapy,393183,"""EDORIUM Journals, Pvt., Ltd.""",,,,10.5348/100037D01KA2019CR,,en
