JournalTitle,JournalID,Publisher,pissn,eissn,additionalIssns,doi,yearissues,language
Essential Nutrient Requirements not Met by Diets High in Staple Foods - Results from the Fill the Nutrient Gap Analysis in selected countries,461630,Sight and Life Foundation,,,,10.52439/TOQO5906,,en
HIV/AIDS and Nutrition Designing Practical Interventions for HIV/AIDS Using a Human-Rights-Based Approach,461070,Sight and Life Foundation,,,,10.52439/VRUV3797,[],en
Infographic Prevalence of Prelacteal Feeding Across the World,461562,Sight and Life Foundation,,,,10.52439/TTLD8483,,en
It’s about the Contribution We Make to Society as a Whole”,461358,Sight and Life Foundation,,,,10.52439/GUHE4150,,en
James Allen Olson Memorial Lecture - Carotenoids and Breast Cancer,461543,Sight and Life Foundation,,,,10.52439/PRNF5934,,en
Letter to the Editor Emerging Science on Lutein in the Brain and Why is Nutrition So Confusing?,461394,Sight and Life Foundation,,,,10.52439/DVLU6389,,en
02 Summit content and more,461356,Sight and Life Foundation,,,,10.52439/SQTY2961,,en
03 Partnerships,461360,Sight and Life Foundation,,,,10.52439/ZHBO9625,,en
04 The Summit continued,461365,Sight and Life Foundation,,,,10.52439/TCIS3540,,en
05 Outcomes,461370,Sight and Life Foundation,,,,10.52439/SZJP6578,,en
06 Conclusions consensus and next steps,461373,Sight and Life Foundation,,,,10.52439/BVFZ6027,,en
1 1 Plenary Sessions Development and Evaluation of Novel Biomarkers of Micronutrient Status (Part 1 and 2),461271,Sight and Life Foundation,,,,10.52439/ENGI5616,,en
1 2 Plenary Session Update on the Prevalence Risk Factors and Spatial Distribution of Micronutrient Deficiency and Excess,461274,Sight and Life Foundation,,,,10.52439/MJNI6661,,en
1 3 Plenary Session Assessment of Program Coverage Indicators in Relation to the Distribution of Micronutrient Deficiency,461276,Sight and Life Foundation,,,,10.52439/DUHG2578,,en
10th Asian Congress of Nutrition Taipei Taiwan September 9–13 2007,460837,Sight and Life Foundation,,,,10.52439/RJCZ5920,,en
13th European Meeting on Fat-Soluble Vitamins 2006 in Jena,460714,Sight and Life Foundation,,,,10.52439/LIWZ8808,,en
14th International Symposium on Carotenoids,460679,Sight and Life Foundation,,,,10.52439/NJMG9563,,en
18th International Society for Research in Human Milk & Lactation (ISRHML 2016),461520,Sight and Life Foundation,,,,10.52439/HFBM2048,[],en
2 1 Determining the Risks and Benefits of Iron Interventions Recommended Assessment Methods and the Need for Individual Assessment,461281,Sight and Life Foundation,,,,10.52439/GABO8345,,en
2 2 Plenary Session Micronutrient Interventions to Prevent Fetal Growth Retardation and Stunting,461284,Sight and Life Foundation,,,,10.52439/JGHV1254,,en
2 3 a Update on Current Issues in Iodine Interventions,461287,Sight and Life Foundation,,,,10.52439/ZXKZ5482,,en
2 3 b Optimizing Iodine Status in the Context of Salt Reduction Strategies,461288,Sight and Life Foundation,,,,10.52439/ELQB5544,,en
2 4 Plenary Session Update on Interventions to Improve Folate and B12 Status and Homocysteine,461291,Sight and Life Foundation,,,,10.52439/HSID8870,,en
2 5 Plenary Session Recent Trials of Vitamin A Supplementation in Newborns,461293,Sight and Life Foundation,,,,10.52439/GDVZ3030,,en
2009 CHNRI International Essay Competition Winners,460773,Sight and Life Foundation,,,,10.52439/DBNT3451,,en
2016 CARIG Conference Convenes in San Diego,461525,Sight and Life Foundation,,,,10.52439/HACM8427,[],en
3 1 Platforms for Quality Delivery of Micronutrients to Achieve High Coverage and Use at Scale,461297,Sight and Life Foundation,,,,10.52439/PPDW3382,,en
3 2 Disseminating New Tools and Directions in Program Monitoring,461300,Sight and Life Foundation,,,,10.52439/DJIZ6482,,en
3 3 Integrating Micronutrients into Agricultural Programs,461303,Sight and Life Foundation,,,,10.52439/RMHF4899,,en
3 4 Resolving Bottlenecks to Implementation and Scale-Up,461306,Sight and Life Foundation,,,,10.52439/ABHO4857,,en
3 5 Developing Costed Scale-Up Plans In-Country Where and How Does the Micronutrient Agenda Fit In?,461309,Sight and Life Foundation,,,,10.52439/TAYM2176,,en
35th Anniversary Edition,466299,Sight and Life Foundation,,,,10.52439/ANNV4378,(2022)[2022]1()[],en
4 1 Stakeholders and Sustainability Elements of an Enabling Environment,461313,Sight and Life Foundation,,,,10.52439/PKJN4339,,en
9th General Assembly ot the International Agency for the Prevention of Blindness,461187,Sight and Life Foundation,,,,10.52439/EZKV8223,,en
A campaign to raise awareness of and combat vitamin A deficiency,460700,Sight and Life Foundation,,,,10.52439/GMGB5202,,en
A Children’s Rights Approach to the Double Burden of Malnutrition,461643,Sight and Life Foundation,,,,10.52439/RIGM5409,,en
A Day in the Life of Andrew Prentice and Fatou Sosseh,461431,Sight and Life Foundation,,,,10.52439/JOZZ4445,,en
A Day in the Life of Arlette Eulert Checa,461648,Sight and Life Foundation,,,,10.52439/ZMIY3137,,en
A Day in the Life of Bill Novelli and Diane Ty,461120,Sight and Life Foundation,,,,10.52439/WVIS9806,,en
A day in the Life of Dr David Nabarro,460956,Sight and Life Foundation,,,,10.52439/PSOU5403,,en
A Day in the Life of Dr Noel W Solomons,461014,Sight and Life Foundation,,,,10.52439/YDLH7092,[],en
A Day in the Life of Ellen Gustafson,461057,Sight and Life Foundation,,,,10.52439/WUQF5654,[],en
A Day in the Life of Eusebia Nono Khotle,461136,Sight and Life Foundation,,,,10.52439/TLPQ5831,,en
A Day in the Life of Howard Schiffer,461177,Sight and Life Foundation,,,,10.52439/GSHO6540,,en
A Day in the Life of Jacqueline Kung’u,460930,Sight and Life Foundation,,,,10.52439/QEFS3692,,en
A Day in the Life of Lucy Martinez Sullivan,461518,Sight and Life Foundation,,,,10.52439/PKFX1244,[],en
A Day in the Life of Marc Van Ameringen,461110,Sight and Life Foundation,,,,10.52439/ILWU6136,,en
A Day in the Life of Mark J Manary MD,460939,Sight and Life Foundation,,,,10.52439/FTNN8715,,en
A Day in the Life of Mary Shawa,460775,Sight and Life Foundation,,,,10.52439/MWST8493,,en
A Day in the Life of Monika Christofori-Khadka,460744,Sight and Life Foundation,,,,10.52439/NBKF2445,,en
A Day in the life of Rajan Sankar,461557,Sight and Life Foundation,,,,10.52439/DPDW3323,,en
A Day in the Life of Richard D Semba and Martin W Bloem,460989,Sight and Life Foundation,,,,10.52439/GCVR1385,,en
A Day in the Life of Rolf Klemm,461396,Sight and Life Foundation,,,,10.52439/AUGT7833,,en
A Day in the Life of Salif Romano Niang,461658,Sight and Life Foundation,,,,10.52439/ZWTH2103,[],en
A Day in the Life of Shantanu Pathak,461036,Sight and Life Foundation,,,,10.52439/NJTV7501,,en
A Day in the Life of Shawn Baker,461340,Sight and Life Foundation,,,,10.52439/VSMS1546,,en
